"","test","data","power","num_obs","lambda1","lambda2","alpha","FC"
"251","t test","original",0.0725,20,1000,10000,100,1.25
"252","t test","rarefied",0.08,20,1000,10000,100,1.25
"253","NB test","original",0.2125,100,1000,10000,100,1.25
"254","NB test","rarefied",0.2175,100,1000,10000,100,1.25
"255","t test","original",0.215,100,1000,10000,100,1.25
"256","t test","rarefied",0.2275,100,1000,10000,100,1.25
"257","NB test","original",0.2975,20,1000,2000,1000,1.25
"258","NB test","rarefied",0.2375,20,1000,2000,1000,1.25
"259","t test","original",0.26,20,1000,2000,1000,1.25
"260","t test","rarefied",0.2,20,1000,2000,1000,1.25
"261","NB test","original",0.81,100,1000,2000,1000,1.25
"262","NB test","rarefied",0.735,100,1000,2000,1000,1.25
"263","t test","original",0.8025,100,1000,2000,1000,1.25
"264","t test","rarefied",0.7275,100,1000,2000,1000,1.25
"265","NB test","original",0.24,20,1000,10000,1000,1.25
"266","NB test","rarefied",0.2025,20,1000,10000,1000,1.25
"267","t test","original",0.2225,20,1000,10000,1000,1.25
"268","t test","rarefied",0.1575,20,1000,10000,1000,1.25
"269","NB test","original",0.89,100,1000,10000,1000,1.25
"270","NB test","rarefied",0.7225,100,1000,10000,1000,1.25
"271","t test","original",0.8725,100,1000,10000,1000,1.25
"272","t test","rarefied",0.7175,100,1000,10000,1000,1.25
"273","NB test","original",0.3975,20,1000,2000,10000,1.25
"274","NB test","rarefied",0.265,20,1000,2000,10000,1.25
"275","t test","original",0.41,20,1000,2000,10000,1.25
"276","t test","rarefied",0.25,20,1000,2000,10000,1.25
"277","NB test","original",0.9725,100,1000,2000,10000,1.25
"278","NB test","rarefied",0.9375,100,1000,2000,10000,1.25
"279","t test","original",0.9775,100,1000,2000,10000,1.25
"280","t test","rarefied",0.935,100,1000,2000,10000,1.25
"281","NB test","original",0.5275,20,1000,10000,10000,1.25
"282","NB test","rarefied",0.345,20,1000,10000,10000,1.25
"283","t test","original",0.545,20,1000,10000,10000,1.25
"284","t test","rarefied",0.3325,20,1000,10000,10000,1.25
"285","NB test","original",0.995,100,1000,10000,10000,1.25
"286","NB test","rarefied",0.9125,100,1000,10000,10000,1.25
"287","t test","original",0.9925,100,1000,10000,10000,1.25
"288","t test","rarefied",0.9125,100,1000,10000,10000,1.25
"289","NB test","original",0.1275,20,1000,2000,100,1.3
"290","NB test","rarefied",0.13,20,1000,2000,100,1.3
"291","t test","original",0.0875,20,1000,2000,100,1.3
"292","t test","rarefied",0.085,20,1000,2000,100,1.3
"293","NB test","original",0.265,100,1000,2000,100,1.3
"294","NB test","rarefied",0.27,100,1000,2000,100,1.3
"295","t test","original",0.265,100,1000,2000,100,1.3
"296","t test","rarefied",0.2675,100,1000,2000,100,1.3
"297","NB test","original",0.115,20,1000,10000,100,1.3
"298","NB test","rarefied",0.115,20,1000,10000,100,1.3
"299","t test","original",0.09,20,1000,10000,100,1.3
"300","t test","rarefied",0.075,20,1000,10000,100,1.3
"301","NB test","original",0.32,100,1000,10000,100,1.3
"302","NB test","rarefied",0.2925,100,1000,10000,100,1.3
"303","t test","original",0.3125,100,1000,10000,100,1.3
"304","t test","rarefied",0.29,100,1000,10000,100,1.3
"305","NB test","original",0.365,20,1000,2000,1000,1.3
"306","NB test","rarefied",0.315,20,1000,2000,1000,1.3
"307","t test","original",0.3375,20,1000,2000,1000,1.3
"308","t test","rarefied",0.2825,20,1000,2000,1000,1.3
"309","NB test","original",0.925,100,1000,2000,1000,1.3
"310","NB test","rarefied",0.8975,100,1000,2000,1000,1.3
"311","t test","original",0.9225,100,1000,2000,1000,1.3
"312","t test","rarefied",0.89,100,1000,2000,1000,1.3
"313","NB test","original",0.39,20,1000,10000,1000,1.3
"314","NB test","rarefied",0.295,20,1000,10000,1000,1.3
"315","t test","original",0.365,20,1000,10000,1000,1.3
"316","t test","rarefied",0.2525,20,1000,10000,1000,1.3
"317","NB test","original",0.96,100,1000,10000,1000,1.3
"318","NB test","rarefied",0.8525,100,1000,10000,1000,1.3
"319","t test","original",0.9475,100,1000,10000,1000,1.3
"320","t test","rarefied",0.85,100,1000,10000,1000,1.3
"321","NB test","original",0.5375,20,1000,2000,10000,1.3
"322","NB test","rarefied",0.4375,20,1000,2000,10000,1.3
"323","t test","original",0.5375,20,1000,2000,10000,1.3
"324","t test","rarefied",0.4175,20,1000,2000,10000,1.3
"325","NB test","original",0.995,100,1000,2000,10000,1.3
"326","NB test","rarefied",0.9825,100,1000,2000,10000,1.3
"327","t test","original",0.995,100,1000,2000,10000,1.3
"328","t test","rarefied",0.9825,100,1000,2000,10000,1.3
"329","NB test","original",0.665,20,1000,10000,10000,1.3
"330","NB test","rarefied",0.44,20,1000,10000,10000,1.3
"331","t test","original",0.6625,20,1000,10000,10000,1.3
"332","t test","rarefied",0.4475,20,1000,10000,10000,1.3
"333","NB test","original",1,100,1000,10000,10000,1.3
"334","NB test","rarefied",0.975,100,1000,10000,10000,1.3
"335","t test","original",1,100,1000,10000,10000,1.3
"336","t test","rarefied",0.975,100,1000,10000,10000,1.3
"337","NB test","original",0.145,20,1000,2000,100,1.35
"338","NB test","rarefied",0.15,20,1000,2000,100,1.35
"339","t test","original",0.1175,20,1000,2000,100,1.35
"340","t test","rarefied",0.11,20,1000,2000,100,1.35
"341","NB test","original",0.3775,100,1000,2000,100,1.35
"342","NB test","rarefied",0.3475,100,1000,2000,100,1.35
"343","t test","original",0.38,100,1000,2000,100,1.35
"344","t test","rarefied",0.355,100,1000,2000,100,1.35
"345","NB test","original",0.15,20,1000,10000,100,1.35
"346","NB test","rarefied",0.15,20,1000,10000,100,1.35
"347","t test","original",0.12,20,1000,10000,100,1.35
"348","t test","rarefied",0.115,20,1000,10000,100,1.35
"349","NB test","original",0.42,100,1000,10000,100,1.35
"350","NB test","rarefied",0.375,100,1000,10000,100,1.35
"351","t test","original",0.4025,100,1000,10000,100,1.35
"352","t test","rarefied",0.3575,100,1000,10000,100,1.35
"353","NB test","original",0.4125,20,1000,2000,1000,1.35
"354","NB test","rarefied",0.3675,20,1000,2000,1000,1.35
"355","t test","original",0.37,20,1000,2000,1000,1.35
"356","t test","rarefied",0.315,20,1000,2000,1000,1.35
"357","NB test","original",0.975,100,1000,2000,1000,1.35
"358","NB test","rarefied",0.9275,100,1000,2000,1000,1.35
"359","t test","original",0.9725,100,1000,2000,1000,1.35
"360","t test","rarefied",0.9275,100,1000,2000,1000,1.35
"361","NB test","original",0.46,20,1000,10000,1000,1.35
"362","NB test","rarefied",0.345,20,1000,10000,1000,1.35
"363","t test","original",0.435,20,1000,10000,1000,1.35
"364","t test","rarefied",0.3175,20,1000,10000,1000,1.35
"365","NB test","original",0.9825,100,1000,10000,1000,1.35
"366","NB test","rarefied",0.9375,100,1000,10000,1000,1.35
"367","t test","original",0.9775,100,1000,10000,1000,1.35
"368","t test","rarefied",0.935,100,1000,10000,1000,1.35
"369","NB test","original",0.7075,20,1000,2000,10000,1.35
"370","NB test","rarefied",0.5725,20,1000,2000,10000,1.35
"371","t test","original",0.7075,20,1000,2000,10000,1.35
"372","t test","rarefied",0.5325,20,1000,2000,10000,1.35
"373","NB test","original",0.9975,100,1000,2000,10000,1.35
"374","NB test","rarefied",0.9975,100,1000,2000,10000,1.35
"375","t test","original",0.9975,100,1000,2000,10000,1.35
"376","t test","rarefied",1,100,1000,2000,10000,1.35
"377","NB test","original",0.8375,20,1000,10000,10000,1.35
"378","NB test","rarefied",0.6175,20,1000,10000,10000,1.35
"379","t test","original",0.8575,20,1000,10000,10000,1.35
"380","t test","rarefied",0.58,20,1000,10000,10000,1.35
"381","NB test","original",1,100,1000,10000,10000,1.35
"382","NB test","rarefied",0.9975,100,1000,10000,10000,1.35
"383","t test","original",1,100,1000,10000,10000,1.35
"384","t test","rarefied",0.9975,100,1000,10000,10000,1.35
"385","NB test","original",0.155,20,1000,2000,100,1.4
"386","NB test","rarefied",0.1425,20,1000,2000,100,1.4
"387","t test","original",0.1225,20,1000,2000,100,1.4
"388","t test","rarefied",0.1125,20,1000,2000,100,1.4
"389","NB test","original",0.4475,100,1000,2000,100,1.4
"390","NB test","rarefied",0.4325,100,1000,2000,100,1.4
"391","t test","original",0.455,100,1000,2000,100,1.4
"392","t test","rarefied",0.4425,100,1000,2000,100,1.4
"393","NB test","original",0.1775,20,1000,10000,100,1.4
"394","NB test","rarefied",0.1875,20,1000,10000,100,1.4
"395","t test","original",0.13,20,1000,10000,100,1.4
"396","t test","rarefied",0.135,20,1000,10000,100,1.4
"397","NB test","original",0.4575,100,1000,10000,100,1.4
"398","NB test","rarefied",0.4275,100,1000,10000,100,1.4
"399","t test","original",0.4575,100,1000,10000,100,1.4
"400","t test","rarefied",0.4325,100,1000,10000,100,1.4
"401","NB test","original",0.51,20,1000,2000,1000,1.4
"402","NB test","rarefied",0.4725,20,1000,2000,1000,1.4
"403","t test","original",0.485,20,1000,2000,1000,1.4
"404","t test","rarefied",0.4125,20,1000,2000,1000,1.4
"405","NB test","original",0.9975,100,1000,2000,1000,1.4
"406","NB test","rarefied",0.9825,100,1000,2000,1000,1.4
"407","t test","original",0.9975,100,1000,2000,1000,1.4
"408","t test","rarefied",0.9825,100,1000,2000,1000,1.4
"409","NB test","original",0.5475,20,1000,10000,1000,1.4
"410","NB test","rarefied",0.43,20,1000,10000,1000,1.4
"411","t test","original",0.5375,20,1000,10000,1000,1.4
"412","t test","rarefied",0.375,20,1000,10000,1000,1.4
"413","NB test","original",0.9975,100,1000,10000,1000,1.4
"414","NB test","rarefied",0.9825,100,1000,10000,1000,1.4
"415","t test","original",0.9975,100,1000,10000,1000,1.4
"416","t test","rarefied",0.9825,100,1000,10000,1000,1.4
"417","NB test","original",0.8025,20,1000,2000,10000,1.4
"418","NB test","rarefied",0.67,20,1000,2000,10000,1.4
"419","t test","original",0.7825,20,1000,2000,10000,1.4
"420","t test","rarefied",0.6525,20,1000,2000,10000,1.4
"421","NB test","original",1,100,1000,2000,10000,1.4
"422","NB test","rarefied",1,100,1000,2000,10000,1.4
"423","t test","original",1,100,1000,2000,10000,1.4
"424","t test","rarefied",1,100,1000,2000,10000,1.4
"425","NB test","original",0.895,20,1000,10000,10000,1.4
"426","NB test","rarefied",0.68,20,1000,10000,10000,1.4
"427","t test","original",0.89,20,1000,10000,10000,1.4
"428","t test","rarefied",0.6775,20,1000,10000,10000,1.4
"429","NB test","original",1,100,1000,10000,10000,1.4
"430","NB test","rarefied",1,100,1000,10000,10000,1.4
"431","t test","original",1,100,1000,10000,10000,1.4
"432","t test","rarefied",1,100,1000,10000,10000,1.4
"433","NB test","original",0.1825,20,1000,2000,100,1.45
"434","NB test","rarefied",0.1725,20,1000,2000,100,1.45
"435","t test","original",0.1575,20,1000,2000,100,1.45
"436","t test","rarefied",0.1475,20,1000,2000,100,1.45
"437","NB test","original",0.5175,100,1000,2000,100,1.45
"438","NB test","rarefied",0.4775,100,1000,2000,100,1.45
"439","t test","original",0.5075,100,1000,2000,100,1.45
"440","t test","rarefied",0.4925,100,1000,2000,100,1.45
"441","NB test","original",0.19,20,1000,10000,100,1.45
"442","NB test","rarefied",0.1775,20,1000,10000,100,1.45
"443","t test","original",0.15,20,1000,10000,100,1.45
"444","t test","rarefied",0.1475,20,1000,10000,100,1.45
"445","NB test","original",0.5325,100,1000,10000,100,1.45
"446","NB test","rarefied",0.5025,100,1000,10000,100,1.45
"447","t test","original",0.535,100,1000,10000,100,1.45
"448","t test","rarefied",0.5025,100,1000,10000,100,1.45
"449","NB test","original",0.625,20,1000,2000,1000,1.45
"450","NB test","rarefied",0.5425,20,1000,2000,1000,1.45
"451","t test","original",0.58,20,1000,2000,1000,1.45
"452","t test","rarefied",0.4975,20,1000,2000,1000,1.45
"453","NB test","original",1,100,1000,2000,1000,1.45
"454","NB test","rarefied",0.995,100,1000,2000,1000,1.45
"455","t test","original",1,100,1000,2000,1000,1.45
"456","t test","rarefied",0.995,100,1000,2000,1000,1.45
"457","NB test","original",0.65,20,1000,10000,1000,1.45
"458","NB test","rarefied",0.52,20,1000,10000,1000,1.45
"459","t test","original",0.6275,20,1000,10000,1000,1.45
"460","t test","rarefied",0.49,20,1000,10000,1000,1.45
"461","NB test","original",1,100,1000,10000,1000,1.45
"462","NB test","rarefied",0.995,100,1000,10000,1000,1.45
"463","t test","original",1,100,1000,10000,1000,1.45
"464","t test","rarefied",0.995,100,1000,10000,1000,1.45
"465","NB test","original",0.8925,20,1000,2000,10000,1.45
"466","NB test","rarefied",0.7925,20,1000,2000,10000,1.45
"467","t test","original",0.89,20,1000,2000,10000,1.45
"468","t test","rarefied",0.7725,20,1000,2000,10000,1.45
"469","NB test","original",1,100,1000,2000,10000,1.45
"470","NB test","rarefied",1,100,1000,2000,10000,1.45
"471","t test","original",1,100,1000,2000,10000,1.45
"472","t test","rarefied",1,100,1000,2000,10000,1.45
"473","NB test","original",0.945,20,1000,10000,10000,1.45
"474","NB test","rarefied",0.7575,20,1000,10000,10000,1.45
"475","t test","original",0.94,20,1000,10000,10000,1.45
"476","t test","rarefied",0.73,20,1000,10000,10000,1.45
"477","NB test","original",1,100,1000,10000,10000,1.45
"478","NB test","rarefied",1,100,1000,10000,10000,1.45
"479","t test","original",1,100,1000,10000,10000,1.45
"480","t test","rarefied",1,100,1000,10000,10000,1.45
